City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Deputatskiy,RU,69.3,139.9,-35.79,97,81,4.7,broken clouds
335,Paliyad,IN,22.25,71.5667,69.58,31,0,6.87,clear sky
336,Kashi,CN,39.4547,75.9797,48.76,20,0,5.53,clear sky
337,Yurimaguas,PE,-5.9,-76.0833,87.96,62,40,3.44,scattered clouds
338,Hornepayne,CA,49.2138,-84.7705,38.53,91,100,8.93,overcast clouds
339,Raga,SS,8.4596,25.678,76.77,25,13,4.14,few clouds
340,Boa Vista,BR,2.8197,-60.6733,84.18,74,40,8.05,scattered clouds
341,Cockburn Town,TC,21.4612,-71.1419,80.33,71,1,11.68,clear sky
342,Pochutla,MX,15.7432,-96.4661,87.82,56,82,7.72,broken clouds
343,Honiton,GB,50.7996,-3.189,53.76,96,100,8.01,light rain
344,Esperance,AU,-33.8667,121.9,59.14,69,100,12.39,overcast clouds
